,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
85,[0.9322971766557043],[0.9572236828230481],[0.910821098423056],[0.845746023731381],0.33822152,[0.9263072551945815],[0.9519150953156295],[0.8985200845665962],[0.8568548387096774],0.33892718
86,[0.9347943380045997],[0.9591513301275515],[0.9002079002079002],[0.87452663468821],0.32735237,[0.9284955803007691],[0.954541930909832],[0.89],[0.8971774193548387],0.33306897
87,[0.9329880000667852],[0.9581583926643271],[0.8693168293263509],[0.921989396617016],0.33546743,[0.9301099184938583],[0.9560444742972648],[0.8694029850746269],[0.9395161290322581],0.34312218
88,[0.9319400551291649],[0.9571553551572932],[0.8763388510223953],[0.9088613986367079],0.33563238,[0.9267520950522328],[0.9522066330269023],[0.872865275142315],[0.9274193548387096],0.34419405
89,[0.9355974412304254],[0.959908618663259],[0.8909594560564089],[0.8932087856601868],0.32530138,[0.9292919871426931],[0.9554155848054604],[0.8825831702544031],[0.9092741935483871],0.3348632
90,[0.9345773981629364],[0.9592098912495638],[0.8852418558736427],[0.9055793991416309],0.3287038,[0.9279861669153943],[0.9535297008045569],[0.8759541984732825],[0.9254032258064516],0.3368342
91,[0.933945067828998],[0.9588813883045657],[0.9183560122188281],[0.8348901792476647],0.3400037,[0.9305475835150959],[0.9565809992444689],[0.9040511727078892],[0.8548387096774194],0.333952
92,[0.9363078743895906],[0.9601151455171846],[0.8865494178845678],[0.9035597071446604],0.3275244,[0.9290408678682126],[0.954749419021526],[0.8733205374280231],[0.9173387096774194],0.3396875
93,[0.9344448362658871],[0.9589575912599253],[0.8883616383616384],[0.8980055541529917],0.32649013,[0.9282516358627022],[0.9537071077826409],[0.8752399232245681],[0.9193548387096774],0.33596212
94,[0.9353754588821124],[0.9596963031629068],[0.9206260480715484],[0.8316081797525877],0.33856982,[0.9300812191482035],[0.9554001507882883],[0.9049676025917927],[0.844758064516129],0.33403897
95,[0.9364081642440784],[0.9603968890845473],[0.8969650599336904],[0.8879070941681394],0.32352984,[0.9278139708414648],[0.954266788995804],[0.8853754940711462],[0.9032258064516129],0.33567122
96,[0.9335470459707402],[0.9585042302907363],[0.9226023555804823],[0.8305983337541025],0.34384394,[0.9269601653082309],[0.9543374126957793],[0.9052863436123348],[0.8286290322580645],0.34395337
97,[0.9327415895751441],[0.9579997518969245],[0.9292009400705052],[0.7985357233021965],0.36146381,[0.926242681666858],[0.953539759415635],[0.9068181818181819],[0.8044354838709677],0.354235
98,[0.9271517468419621],[0.9542686755473146],[0.8087557603686636],[0.9747538500378692],0.44033605,[0.9179413959361726],[0.9472081903158309],[0.8110367892976589],[0.9778225806451613],0.4937372
99,[0.9367296520569561],[0.9605557053078086],[0.9038763750654794],[0.871244635193133],0.324158,[0.9290910917231087],[0.9546729822807046],[0.8949494949494949],[0.8931451612903226],0.32851183
100,[0.9369684427607701],[0.9607264053506572],[0.9394578313253013],[0.7874274173188589],0.35136294,[0.9297081276546894],[0.9547334045465952],[0.927710843373494],[0.7762096774193549],0.3452791
101,[0.9371687423304875],[0.9607750817252223],[0.9171225382932167],[0.8465034082302448],0.3283979,[0.9294857077258638],[0.954885654934206],[0.9012875536480687],[0.8467741935483871],0.33168846
102,[0.9373524576561107],[0.961024588770221],[0.9146110056925996],[0.8518050997222923],0.3279097,[0.9305547583515095],[0.9563304379349263],[0.9037656903765691],[0.8709677419354839],0.32959327
103,[0.9346798170757876],[0.9588440160020477],[0.8855795482750062],[0.900782630648826],0.325958,[0.9294857077258638],[0.9542877505602216],[0.88671875],[0.9153225806451613],0.33569646
104,[0.9370895749760788],[0.9609324090830642],[0.877011770357915],[0.9217369351173946],0.3262618,[0.929643554126966],[0.9542905069434934],[0.8764044943820225],[0.9435483870967742],0.34055862
105,[0.9370771367930082],[0.9606392383968324],[0.8808075893943079],[0.9141630901287554],0.32534394,[0.9301386178395131],[0.9546950773542391],[0.8785578747628083],[0.9334677419354839],0.33896095
106,[0.9371954676157337],[0.9609654537327436],[0.9163477310005468],[0.8462509467306236],0.33147317,[0.9277278728045002],[0.9535551465519472],[0.8957446808510638],[0.8487903225806451],0.33576176
107,[0.9386400897431719],[0.9619466058233762],[0.8795470970850398],[0.9217369351173946],0.32102674,[0.9292058891057284],[0.9548025518908809],[0.8740601503759399],[0.9375],0.33774498
108,[0.9379094865574056],[0.961496822859113],[0.8802221685583193],[0.9202221661196668],0.3235777,[0.9282875100447711],[0.9537445681247493],[0.8705440900562852],[0.9354838709677419],0.33861727
109,[0.9394666126109954],[0.9624665089685558],[0.9146702557200538],[0.8578641757132037],0.32009253,[0.9294426587073815],[0.954729467529841],[0.8957055214723927],[0.8830645161290323],0.32806438
110,[0.9386517435363189],[0.9617924151003744],[0.8927943760984183],[0.8977530926533703],0.32087147,[0.9310426472276432],[0.9556519385997652],[0.8871595330739299],[0.9193548387096774],0.33049238
111,[0.9365879015922332],[0.9603943438239014],[0.8942136120316084],[0.8856349406715476],0.32365432,[0.9297081276546895],[0.9545041231897866],[0.8884540117416829],[0.9153225806451613],0.3346765
112,[0.9406785510704514],[0.9630601330438602],[0.8839350617882239],[0.9209795506185307],0.31686136,[0.9301673171851681],[0.9551017405557329],[0.8790170132325141],[0.9375],0.33702138
113,[0.9403958905587804],[0.9630723291062752],[0.9127089413637569],[0.8684675586972986],0.3148687,[0.9303108139134427],[0.9563459758440166],[0.8904665314401623],[0.8850806451612904],0.32679492
114,[0.938310982142467],[0.9618108172921385],[0.9048983845752996],[0.8767987881848018],0.32075644,[0.9271467110549878],[0.9542884349657286],[0.882],[0.8891129032258065],0.3343886
115,[0.937901978825282],[0.9617998521525827],[0.880368842513953],[0.9159303206261045],0.3234199,[0.9291915394329009],[0.9541730392265839],[0.8804554079696395],[0.9354838709677419],0.33821326
116,[0.9397075884010243],[0.9624636358357637],[0.8992603927569498],[0.8901792476647311],0.3145072,[0.9307197795890254],[0.9551252111098485],[0.889763779527559],[0.9112903225806451],0.32866466
117,[0.9388101903008393],[0.9621809597452029],[0.8725978647686833],[0.9285533956071699],0.32507437,[0.9294928825622776],[0.9547077273060253],[0.8677839851024208],[0.9395161290322581],0.34550402
118,[0.9402594067121142],[0.9629636487769891],[0.8948698508971443],[0.8939661701590508],0.31353816,[0.9317744805418436],[0.9559438835937548],[0.8884540117416829],[0.9153225806451613],0.32416645
119,[0.9412772086655365],[0.9636754159589072],[0.921681780708986],[0.8467558697298662],0.3203848,[0.9322982436000459],[0.9568063483808036],[0.89937106918239],[0.8649193548387096],0.32544678
120,[0.9402211957172759],[0.9627747862160295],[0.9187124931805782],[0.8502903307245645],0.3212351,[0.9298444495465503],[0.9544476550884337],[0.902542372881356],[0.8588709677419355],0.32842526
121,[0.9404188619779648],[0.9631026531455268],[0.939780480569564],[0.799798030800303],0.3422789,[0.9308058776259901],[0.9554788625225905],[0.9162790697674419],[0.7943548387096774],0.33993572
122,[0.941313178546308],[0.9636616557550353],[0.9200981728933734],[0.8518050997222923],0.31688362,[0.9319538514521869],[0.9565147650549348],[0.8962655601659751],[0.8709677419354839],0.32288337
