,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
48,[0.8940229316685725],[0.9550442405350399],[0.9159663865546218],[0.8825910931174089],0.40853238,[0.877450246895107],[0.959219296213426],[0.9151515151515152],[0.9263803680981595],0.3655604
49,[0.8938230779532507],[0.9551537462156466],[0.8977183320220299],[0.9238866396761134],0.40012366,[0.8734101451443963],[0.9574983690786651],[0.8953488372093024],[0.9447852760736196],0.366637
50,[0.8928155679863192],[0.9544008301610619],[0.9481915933528837],[0.7854251012145749],0.4718647,[0.8807421816549453],[0.9603895085631142],[0.9241379310344827],[0.8220858895705522],0.39816228
51,[0.8967693749935614],[0.9571053696198801],[0.9114238410596026],[0.891497975708502],0.40388513,[0.8740086787370942],[0.9571818481556145],[0.9096385542168675],[0.9263803680981595],0.3663927
52,[0.8915834801330985],[0.954409637542517],[0.8794272795779955],[0.9449392712550607],0.40524158,[0.8576986383360766],[0.9519452827040737],[0.8977272727272727],[0.9693251533742331],0.39760104
53,[0.8965118315459818],[0.9564611554713234],[0.9083469721767594],[0.8987854251012146],0.39882803,[0.8761035463115368],[0.9575135662223455],[0.9041916167664671],[0.9263803680981595],0.364807
54,[0.8968744527201739],[0.9568897551056741],[0.935862691960253],[0.8388663967611336],0.42863297,[0.8810414484512943],[0.9609128408517784],[0.9230769230769231],[0.8834355828220859],0.3758293
55,[0.8986896189387148],[0.9579123759566137],[0.9232081911262798],[0.8761133603238866],0.4035771,[0.877450246895107],[0.9594511334056751],[0.9151515151515152],[0.9263803680981595],0.37011966
56,[0.8985618773887154],[0.9578249708508915],[0.9000793021411578],[0.9190283400809717],0.3887173,[0.8764028131078857],[0.9587136517648807],[0.9005847953216374],[0.9447852760736196],0.36705256
57,[0.8991799816629064],[0.9582892203304688],[0.9355416293643688],[0.8461538461538461],0.41474074,[0.8817896154421666],[0.960546784350024],[0.9290322580645162],[0.8834355828220859],0.36731657
58,[0.9004986041145141],[0.9586145770587196],[0.9266211604095563],[0.8793522267206477],0.3990372,[0.8816399820439922],[0.9609456028386623],[0.9202453987730062],[0.9202453987730062],0.36473882
59,[0.9013598294032203],[0.9593937586418115],[0.9410681399631676],[0.8275303643724696],0.4266818,[0.8808918150531199],[0.9602803034243842],[0.9342105263157895],[0.8711656441717791],0.3779802
60,[0.8991181712354875],[0.9581476993220976],[0.9555808656036446],[0.6793522267206478],0.5246109,[0.8835852162202603],[0.9633367786009568],[0.9512195121951219],[0.7177914110429447],0.44072375
61,[0.9031523317983745],[0.9600431833486647],[0.9130434782608695],[0.9012145748987854],0.3864803,[0.8786473140805028],[0.9600485412833057],[0.9096385542168675],[0.9263803680981595],0.36251882
62,[0.9026331242080537],[0.9597775393423111],[0.9381255686988171],[0.8348178137651822],0.41655332,[0.882537782433039],[0.960591128733332],[0.9342105263157895],[0.8711656441717791],0.3700737
63,[0.9058987751233631],[0.9621922497254567],[0.9454713493530499],[0.8283400809716599],0.41688532,[0.8784976806823283],[0.9596706900285159],[0.9407894736842105],[0.8773006134969326],0.3863195
64,[0.9060326977161047],[0.9616865542988557],[0.8943716268311488],[0.9392712550607287],0.37819028,[0.879994014664073],[0.961536677705115],[0.9005847953216374],[0.9447852760736196],0.36237502
65,[0.9055279125588486],[0.9620438196211916],[0.9003139717425431],[0.928744939271255],0.3785042,[0.873709411940745],[0.9591428868882279],[0.9],[0.9386503067484663],0.372116
66,[0.9074337340709377],[0.9627301649383901],[0.9439853076216712],[0.8323886639676114],0.4140314,[0.8795451144695496],[0.9609205306149944],[0.94],[0.8650306748466258],0.38083065
67,[0.9082146058039992],[0.962828151007274],[0.9413886384129847],[0.8453441295546559],0.40482563,[0.883136316025737],[0.9622768036120954],[0.9285714285714286],[0.8773006134969326],0.3737055
68,[0.9075676566636791],[0.963131035210087],[0.892802450229709],[0.9441295546558705],0.37487435,[0.8678737094119408],[0.9566188358463663],[0.9011627906976745],[0.950920245398773],0.3890539
69,[0.9058596285193312],[0.961904416485295],[0.9605695509309967],[0.7101214574898785],0.49214414,[0.8859793505910519],[0.963831658257978],[0.9618320610687023],[0.7730061349693251],0.4323099
70,[0.9120921799507578],[0.9649652674964703],[0.9212271973466003],[0.8995951417004049],0.3743526,[0.8783480472841538],[0.9602979484607201],[0.9141104294478528],[0.9141104294478528],0.37155053
71,[0.9110352216418911],[0.9637599128696069],[0.9427036705461056],[0.8526315789473684],0.39365125,[0.8850815502020052],[0.9628118907861505],[0.935064935064935],[0.8834355828220859],0.3714566
72,[0.9145151487055868],[0.9661945666273216],[0.9244186046511628],[0.9012145748987854],0.3647138,[0.8777495136914558],[0.9604078469377906],[0.9141104294478528],[0.9141104294478528],0.37537992
73,[0.9141195619701045],[0.9652769117711206],[0.926829268292683],[0.8923076923076924],0.36349446,[0.8808918150531199],[0.9608266062767152],[0.9259259259259259],[0.9202453987730062],0.36428306
74,[0.9115070412378568],[0.9635257840712916],[0.9566502463054187],[0.7862348178137651],0.4378058,[0.8945084542869969],[0.9684897706562707],[0.9432624113475178],[0.8159509202453987],0.40525064
75,[0.9165116255112237],[0.9669117334765138],[0.9013975155279503],[0.940080971659919],0.35896707,[0.8778991470896303],[0.9603164070098995],[0.8947368421052632],[0.9386503067484663],0.37982568
76,[0.9155453224959051],[0.9678373288621339],[0.9547244094488189],[0.7854251012145749],0.42438048,[0.8784976806823284],[0.9623894722183206],[0.9361702127659575],[0.8098159509202454],0.4322861
77,[0.9202779408886279],[0.9687797883024526],[0.9318181818181818],[0.8963562753036437],0.3626094,[0.8852311836001796],[0.9641814819083239],[0.9254658385093167],[0.9141104294478528],0.3802465
78,[0.9147314852015537],[0.9655286032126627],[0.9524262607040913],[0.8105263157894737],0.41886795,[0.8897201855454138],[0.9652100020411285],[0.9444444444444444],[0.8343558282208589],0.38521275
79,[0.9126052064983362],[0.9638020660780457],[0.9383259911894273],[0.8623481781376519],0.38156846,[0.8888223851563668],[0.9650647980015773],[0.9225806451612903],[0.8773006134969326],0.36447188
80,[0.9200986906491126],[0.9692017970272042],[0.934018851756641],[0.8825910931174089],0.3692648,[0.8808918150531199],[0.9635358999996231],[0.9299363057324841],[0.8957055214723927],0.38139224
81,[0.9192663102265352],[0.9675059126593932],[0.9385813148788927],[0.8785425101214575],0.36552167,[0.8909172527308096],[0.9658843040135023],[0.930379746835443],[0.901840490797546],0.36629567
82,[0.9191818359757291],[0.9672644111362416],[0.9408181026979983],[0.8753036437246964],0.35730416,[0.8862786173874009],[0.963713347758899],[0.930379746835443],[0.901840490797546],0.36608124
83,[0.9219488827765244],[0.9692377608688489],[0.9644308943089431],[0.7684210526315789],0.4295622,[0.8906179859344606],[0.9661596898877203],[0.948905109489051],[0.7975460122699386],0.4156356
84,[0.9249961368482863],[0.970840072789693],[0.959047619047619],[0.8153846153846154],0.39325136,[0.8873260511746222],[0.9644970122571671],[0.9440559440559441],[0.8282208588957055],0.4041367
85,[0.9267618547248921],[0.9718052305816479],[0.955719557195572],[0.8388663967611336],0.37407878,[0.8835852162202604],[0.9632224732709393],[0.9387755102040817],[0.8466257668711656],0.39210105
86,[0.9271904070216646],[0.9715044925736213],[0.9536784741144414],[0.8502024291497976],0.36720678,[0.8907676193326349],[0.9663726945924469],[0.9337748344370861],[0.8650306748466258],0.3798552
87,[0.9293599530240753],[0.9724478275506032],[0.9415305245055889],[0.8866396761133604],0.33981252,[0.8880742181654946],[0.9651312024634657],[0.925],[0.9079754601226994],0.3722254
88,[0.9294670910982681],[0.9735895991280026],[0.9125295508274232],[0.9376518218623482],0.33705318,[0.874607212329792],[0.9591550105991059],[0.9047619047619048],[0.9325153374233128],0.39516258
89,[0.9289210989893996],[0.9724218952412598],[0.9528985507246377],[0.8518218623481781],0.36492532,[0.8858297171928774],[0.9629065510899176],[0.9403973509933775],[0.8711656441717791],0.3862323
90,[0.9306023426151991],[0.9729883907709249],[0.9359190556492412],[0.8987854251012146],0.33651608,[0.8838844830166094],[0.9620541993843277],[0.9259259259259259],[0.9202453987730062],0.3780398
91,[0.931436783385357],[0.9735862688375793],[0.9286300246103364],[0.9165991902834008],0.32680318,[0.8844830166093072],[0.9633710269342567],[0.9151515151515152],[0.9263803680981595],0.3789045
92,[0.9318694563772909],[0.9738930050692243],[0.9427839453458582],[0.8939271255060729],0.33658242,[0.8874756845727967],[0.9654394224811353],[0.9308176100628931],[0.9079754601226994],0.37438893
93,[0.915512356934615],[0.9662576975591924],[0.9665127020785219],[0.6777327935222672],0.5239755,[0.8898698189435883],[0.966553239782822],[0.9583333333333334],[0.7055214723926381],0.45526862
